practice_type,practice_count,area_ac,tn_load_reduced,tp_load_reduced,tss_load_reduced
Access Control,2,207.1,0.0,0.0,0.0
Access Road,13,0.0,0.0,0.0,0.0
Alternative Crops,1,0.77,0.0,0.0,0.0
Animal Mortality Facility,2,0.0,0.0,0.0,0.0
Aquatic Organism Passage,1,1.09,0.0,0.0,0.0
Barnyard Runoff Controls,27,36976.35,296.23,94.4,73457.84
Bioretention,52,9.29,182.89000000000001,46.95,161247.17
Bioretention/raingarden - C/D soils no underdrain,28,2.25,63.730000000000004,19.87,32931.259999999995
Bioretention/raingardens - A/B soils no underdrain,35,3.44,25.41,7.279999999999999,23029.010000000002
Bioretention/raingardens - C/D soils underdrain,9,4.17,23.96,7.19,29862.100000000002
Bioswale,15,2.68,537.38,148.3,122071.34
Cistern,9,0.01,0.0,0.0,0.0
Comprehensive Nutrient Management Plan,11,1907.42,1196.67,526.22,0.0
Conservation Cover,22,274.58,418.96999999999997,232.98000000000002,112475.3
Conservation Easement,2,19483.7,40.14,7.81,7175.63
Conservation Tillage,15,38558.07,706.38,571.39,616519.84
Constructed Wetland,3,1.66,85.35999999999999,40.78000000000001,66840.2
Contour Orchard and Other Perennial Crops,1,3.39,0.0,0.0,0.0
Cover Crop,153,51453.81,17995.14,10142.210000000001,4865622.05
Crop Rotation,1,102.03,0.0,0.0,0.0
Denitrifying Bioreactor,2,0.0,0.0,0.0,0.0
Depaving,1,0.0,0.0,0.0,0.0
Diversion,16,0.48,0.0,0.0,0.0
Early Successional Habitat,1,0.44,0.0,0.0,0.0
Erosion and Sediment Control Level 1,5,0.14,0.0,0.0,0.0
Fence,40,246.71,3272.87,1784.15,405691.62
Flow Through Planter,2,0.0,0.0,0.0,0.0
Forest Buffer,45,519.93,29870.21,6592.08,3597758.81
Forest Buffer - Narrow,7,266.12,368.76,118.54,107079.90000000001
Forest Buffer - Streamside with Exclusion Fencing,47,17.94,29958.68,8554.96,14185172.27
Forest Management Plan,3,20.19,0.0,0.0,0.0
Grass Buffer,1,0.38,0.0,0.0,0.0
Grass Buffer - Narrow,5,6.59,419.03,135.28,117014.42
Grass Buffer - Narrow with Exclusion Fencing,1,45.25,168.24,24.75,1093421.7
Grass Buffer - Streamside with Exclusion Fencing,2,0.0,2250.03,596.61,529095.26
Grass Buffers,2,7.38,0.0,0.0,0.0
Grassed Waterway,42,109.27,756.04,318.98,227328.26
Grazing Land Protection,8,37036.14,37.57,14.98,4063.69
Green Infrastructure Plan,1,11256.44,0.0,0.0,0.0
Heavy Use Area Protection,69,113.42,595.8900000000001,204.9,137164.97
Impervious Surface Reduction,2,0.09,1.13,0.19,793.75
In-Field Soil Health Assessment,25,1481.9,0.0,0.0,0.0
"Irrigation System, Microirrigation",2,60.69,0.0,0.0,0.0
Livestock Pipeline,12,0.73,0.0,0.0,0.0
Manure Storage Facilities,5,0.67,0.0,0.0,0.0
Non-Urban Stream Restoration,15,81.85,2855.65,1852.06,636578.03
Not Specified,9,0.0,0.0,0.0,0.0
Nutrient Management,9,38115.27,1465.81,713.0899999999999,0.0
Obstruction Removal,3,0.01,0.0,0.0,0.0
Permeable Pavement w/o Sand Veg. - A/B soils no underdrain,5,0.53,8.749999999999998,2.0,3116.42
Phosphorous Removal System,4,0.01,0.0,0.0,0.0
Pollinator Habitat,6,0.77,0.0,0.0,0.0
Prescribed Grazing,9,337.21,48.379999999999995,23.62,7325.9400000000005
Pumping Plant,8,0.0,0.0,0.0,0.0
Rain Barrel,1,0.0,0.0,0.0,0.0
"Residue and Till Management, No Till",4,63.88,0.0,0.0,0.0
Riparian Forest Buffer,62,1852.84,3606.94,602.28,516682.36
Riparian Herbaceous Cover,6,26.7,227.96,42.87,33331.83
Roof Runoff Management,3,8.67,11.100000000000001,2.8499999999999996,2103.85
Roof Runoff Structure,39,53.7,207.37,68.11,44480.38
Roofs and Covers,21,4.71,93.83,31.15,19531.54
Soil Conservation and Water Quality Plans,48,3670.52,2873.98,1044.76,704045.64
Sprinkler System (Center Pivot),3,252.78,0.0,0.0,0.0
Stream Channel Stabilization,3,0.11,46.059999999999995,27.64,5575.55
Stream Crossing,50,1.17,0.0,0.0,1000.0
Streambank and Shoreline Protection,5,41.75,734.96,440.98,206932.29
Terrace,10,0.0,0.0,0.0,0.0
Trails and Walkways,32,1.02,0.0,0.0,0.0
Tree Planting,5,5.36,20.58,4.24,3385.3599999999997
Tree and Shrub Establishment,11,37062.14,294.64,75.43,49788.0
Underground Outlet,30,0.01,0.0,0.0,0.0
Urban Infiltration Practices,3,0.34,0.92,0.16,678.13
Urban Stream Restoration,2,0.26,52.31,44.35,27946.55
Vegetated Treatment Area,5,1.57,0.0,0.0,0.0
Waste Facility Closure,6,0.65,0.0,0.0,0.0
Waste Storage Facility,57,55.74,13388.78,3453.73,0.0
Waste Storage Pond,1,1.14,594.93,132.51,0.0
Waste Storage Structure,43,2.08,15165.75,5680.15,0.0
Waste Transfer,14,0.0,0.0,0.0,0.0
Watering Facility,19,345.48,188.1,103.97,23089.86
Wet Pond,1,0.2,52.74,26.49,35413.76
Wetland Creation - Floodplain,3,1.92,15.520000000000001,7.5,6102.97
Wetland Restoration,4,10.26,36.56,21.47,12990.63
Wetland Restoration - Floodplain,2,1.44,0.92,0.2,74.75999999999999
TOTAL,1309,282184.8,131263.24999999997,44592.41,28855990.24
