,0
catchment_hectares,140398.6929
TotalN,991705.0766070288
TotalP,83186.39408706487
Sediment,246443054.85493267
tn_load_ps,0.0
tp_load_ps,0.0
tn_load_avoid,0.0
tp_load_avoid,0.0
tss_load_avoid,0.0
tn_load_xsnps,-1404900.6111959713
tp_load_xsnps,39662.799288064874
tss_load_xsnps,116742742.35391268
tn_load_rem1,-1404900.6111959713
tp_load_rem1,39662.799288064874
tss_load_rem1,116742742.35391268
tn_load_rem2,-1404900.6111959713
tp_load_rem2,39662.799288064874
tss_load_rem2,116742742.35391268
tn_load_rem3,-1405005.7029388398
tp_load_rem3,39625.298773214265
tss_load_rem3,116721997.26152274
